dataset_name,branch,quadrant,same_class_rate,same_class_rate_mean,same_class_rate_std,pair_percentage_mean,pair_percentage_std,n_runs,epochs_used
SleepEDFx,inter,binary_no_prior_no,0.203 +/- 0.031,0.203,0.031,0.062,0.009,5,10
SleepEDFx,inter,binary_no_prior_yes,0.214 +/- 0.024,0.214,0.024,0.312,0.013,5,10
SleepEDFx,inter,binary_yes_prior_no,0.335 +/- 0.011,0.335,0.011,0.071,0.004,5,10
SleepEDFx,inter,binary_yes_prior_yes,0.304 +/- 0.005,0.304,0.005,0.555,0.004,5,10
SleepEDFx,intra,binary_no_prior_no,0.273 +/- 0.018,0.273,0.018,0.052,0.008,5,10
SleepEDFx,intra,binary_no_prior_yes,0.271 +/- 0.008,0.271,0.008,0.346,0.010,5,10
SleepEDFx,intra,binary_yes_prior_no,0.274 +/- 0.020,0.274,0.020,0.082,0.005,5,10
SleepEDFx,intra,binary_yes_prior_yes,0.271 +/- 0.008,0.271,0.008,0.521,0.018,5,10
SleepEDFx,temporal,binary_no_prior_no,0.277 +/- 0.011,0.277,0.011,0.075,0.005,5,10
SleepEDFx,temporal,binary_no_prior_yes,0.280 +/- 0.014,0.280,0.014,0.204,0.009,5,10
SleepEDFx,temporal,binary_yes_prior_no,0.271 +/- 0.008,0.271,0.008,0.185,0.007,5,10
SleepEDFx,temporal,binary_yes_prior_yes,0.270 +/- 0.010,0.270,0.010,0.536,0.014,5,10
